keyword,store_id,zip_code
Mustard,,99577
Mustard,,99611
Mustard,,99615
Mustard,,99654
Mustard,,99701
Mustard,,99901
Mustard,,97060
Mustard,,98057
nectarines,,99503
nectarines,,99504
nectarines,,99515
nectarines,,99577
nectarines,,99611
nectarines,,99615
nectarines,,99654
nectarines,,99701
nectarines,,99901
nectarines,,97060
nectarines,,98057
Noodle,,99503
Noodle,,99504
Noodle,,99515
Noodle,,99577
Noodle,,99611
Noodle,,99615
Noodle,,99654
Noodle,,99701
Noodle,,99901
Noodle,,97060
Noodle,,98057
Nopal,,99503
Nopal,,99504
Nopal,,99515
Nopal,,99577
Nopal,,99611
Nopal,,99615
Nopal,,99654
Nopal,,99701
Nopal,,99901
Nopal,,97060
Nopal,,98057
Nut,,99503
Nut,,99504
Nut,,99515
Nut,,99577
Nut,,99611
Nut,,99615
Nut,,99654
Nut,,99701
Nut,,99901
Nut,,97060
Nut,,98057
Nutrition bar,,99503
Nutrition bar,,99504
Nutrition bar,,99515
Nutrition bar,,99577
Nutrition bar,,99611
Nutrition bar,,99615
Nutrition bar,,99654
Nutrition bar,,99701
Nutrition bar,,99901
Nutrition bar,,97060
Nutrition bar,,98057
nuts,,99503
nuts,,99504
nuts,,99515
nuts,,99577
nuts,,99611
nuts,,99615
nuts,,99654
nuts,,99701
nuts,,99901
nuts,,97060
nuts,,98057
Oat bran,,99503
Oat bran,,99504
Oat bran,,99515
Oat bran,,99577
Oat bran,,99611
Oat bran,,99615
Oat bran,,99654
Oat bran,,99701
Oat bran,,99901
Oat bran,,97060
Oat bran,,98057
oatmeal,,99503
oatmeal,,99504
oatmeal,,99515
oatmeal,,99577
oatmeal,,99611
oatmeal,,99615
oatmeal,,99654
oatmeal,,99701
oatmeal,,99901
oatmeal,,97060
oatmeal,,98057
Oil,,99503
Oil,,99504
Oil,,99515
Oil,,99577
Oil,,99611
Oil,,99615
Oil,,99654
Oil,,99701
Oil,,99901
Oil,,97060
Oil,,98057
Okra,,99503
Okra,,99504
Okra,,99515
Okra,,99577
Okra,,99611
Okra,,99615
Okra,,99654
Okra,,99701
Okra,,99901
Okra,,97060
Okra,,98057
olive oil,,99503
olive oil,,99504
olive oil,,99515
olive oil,,99577
olive oil,,99611
olive oil,,99615
olive oil,,99654
olive oil,,99701
olive oil,,99901
olive oil,,97060
olive oil,,98057
onions,,99503
onions,,99504
onions,,99515
onions,,99577
onions,,99611
onions,,99615
onions,,99654
onions,,99701
onions,,99901
onions,,97060
onions,,98057
oranges,,99503
oranges,,99504
oranges,,99515
oranges,,99577
oranges,,99611
oranges,,99615
oranges,,99654
oranges,,99701
oranges,,99901
oranges,,97060
oranges,,98057
papaya,,99503
papaya,,99504
papaya,,99515
papaya,,99577
papaya,,99611
papaya,,99615
papaya,,99654
papaya,,99701
papaya,,99901
papaya,,97060
papaya,,98057
paper towel,,99503
paper towel,,99504
paper towel,,99515
paper towel,,99577
paper towel,,99611
paper towel,,99615
paper towel,,99654
paper towel,,99701
paper towel,,99901
paper towel,,97060
paper towel,,98057
Parsley,,99503
Parsley,,99504
Parsley,,99515
Parsley,,99577
Parsley,,99611
Parsley,,99615
Parsley,,99654
Parsley,,99701
Parsley,,99901
Parsley,,97060
Parsley,,98057
Passion fruit,,99503
Passion fruit,,99504
Passion fruit,,99515
Passion fruit,,99577
Passion fruit,,99611
Passion fruit,,99615
Passion fruit,,99654
Passion fruit,,99701
Passion fruit,,99901
Passion fruit,,97060
Passion fruit,,98057
Pasta,,99503
Pasta,,99504
Pasta,,99515
Pasta,,99577
Pasta,,99611
Pasta,,99615
Pasta,,99654
Pasta,,99701
Pasta,,99901
Pasta,,97060
Pasta,,98057
Pea,,99503
Pea,,99504
Pea,,99515
Pea,,99577
Pea,,99611
Pea,,99615
Pea,,99654
Pea,,99701
Pea,,99901
Pea,,97060
Pea,,98057
peaches,,99503
peaches,,99504
peaches,,99515
peaches,,99577
peaches,,99611
peaches,,99615
peaches,,99654
peaches,,99701
peaches,,99901
peaches,,97060
peaches,,98057
peanut butter,,99503
peanut butter,,99504
peanut butter,,99515
peanut butter,,99577
peanut butter,,99611
peanut butter,,99615
peanut butter,,99654
peanut butter,,99701
peanut butter,,99901
peanut butter,,97060
peanut butter,,98057
Peanut,,99503
Peanut,,99504
Peanut,,99515
Peanut,,99577
Peanut,,99611
Peanut,,99615
Peanut,,99654
Peanut,,99701
Peanut,,99901
Peanut,,97060
Peanut,,98057
pears,,99503
pears,,99504
pears,,99515
pears,,99577
pears,,99611
pears,,99615
pears,,99654
pears,,99701
pears,,99901
pears,,97060
pears,,98057
peppers,,99503
peppers,,99504
peppers,,99515
peppers,,99577
peppers,,99611
peppers,,99615
peppers,,99654
peppers,,99701
peppers,,99901
peppers,,97060
peppers,,98057
pepsi,,99503
pepsi,,99504
pepsi,,99515
pepsi,,99577
pepsi,,99611
pepsi,,99615
pepsi,,99654
pepsi,,99701
pepsi,,99901
pepsi,,97060
pepsi,,98057
Persimmon,,99503
Persimmon,,99504
Persimmon,,99515
Persimmon,,99577
Persimmon,,99611
Persimmon,,99615
Persimmon,,99654
Persimmon,,99701
Persimmon,,99901
Persimmon,,97060
Persimmon,,98057
pilot bread,,99503
